 AC_NAME , CANDIDATE_NAME , SEX , AGE , CATEGORY , PARTY , SYMBOL , GENERAL , POSTAL , TOTAL , %_VOTES_POLLED , TOTAL_ELECTORS 
Nashik central,2 HEMLATA NINAD PATIL,FEMALE,53,GENERAL,INC,Hand,44874,188,45062,29.0140427915602,319566
Nashik central,3 BHOSALE NITIN KESHAVRAO,MALE,50,GENERAL,MNS,Railway Engine,22010,130,22140,14.2552684613453,319566
Nashik central,4 SANJAY BHARAT SABALE,MALE,54,GENERAL,VBA,Gas Cylinder,9127,36,9163,5.89977528958026,319566
Nashik central,5 NOTA,,,,NOTA,NOTA,2484,9,2493,1.60516640804579,319566
Nashik central,6 DEEPAK RANGNATH DOKE,MALE,31,SC,BSP,Elephant,930,3,933,0.600730147896801,319566
Nashik central,7 KANOJE PRAKASH GIRIDHAR,MALE,52,GENERAL,IND,Balloon,565,,565,0.363786209605244,319566
Nashik central,8 AJIJ ABBAS PATHAN,MALE,59,GENERAL,IND,Auto- Rickshaw,532,1,533,0.343182388884239,319566
Nashik central,9 WAGH KAPIL SUDHAKAR,MALE,35,SC,APoI,Coat,391,,391,0.251752934434779,319566
Nashik central,10 DEVIDAS PIRAJI SARKATE,MALE,44,SC,IND,Cup & Saucer,333,,333,0.214408509377958,319566
Nashik central,11 VILAS MADHUKAR DESALE (PATIL),MALE,46,GENERAL,IND,Ice Cream,235,3,238,0.153240916612474,319566
,,,,,,,154622,689,155311,48.6006020665528,
Nashik West,1 Seema Mahesh Hiray (Seematai),FEMALE,49,GENERAL,BJP,Lotus,77801,240,78041,35.6450883579445,401795
Nashik West,2 Dr. Apoorva Prashant Hiray,MALE,39,GENERAL,NCP,Clock,67979,316,68295,31.1936201407698,401795
Nashik West,3 Dilip Dattu Datir,MALE,42,GENERAL,MNS,Railway Engine,25437,64,25501,11.6475365284394,401795
Nashik West,4 Dhondiram Limbaji Karad,MALE,62,GENERAL,CPIM,"Hammer, Sickle and Star",22611,46,22657,10.3485445717757,401795
Nashik West,5 Vilas Ramdas Shinde,MALE,48,GENERAL,IND,Bat,16384,45,16429,7.50391661604374,401795
Nashik West,6 Bipin Annasaheb Katare,MALE,29,SC,IND,Gas Cylinder,2267,3,2270,1.03681847455227,401795
Nashik West,7 NOTA,,,,NOTA,NOTA,2109,9,2118,0.967392744097671,401795
Nashik West,8 Bhimrao Lakshmanrao Jadhav,MALE,49,SC,BSP,Elephant,786,2,788,0.359917602619908,401795
Nashik West,9 Deva Haribhau Waghmare,MALE,41,GENERAL,IND,Tractor Chalata Kissan,786,1,787,0.359460854393233,401795
Nashik West,10 Nitin Narayan Sarode,MALE,38,GENERAL,IND,Helmet,424,2,426,0.194574744563554,401795
Nashik West,11 Lankesh Ananda Mistari,MALE,38,GENERAL,IND,Auto- Rickshaw,300,,300,0.137024468002503,401795
Nashik West,12 Datta Dnyandev Ambhore,MALE,28,SC,PPID,Black Board,250,,250,0.114187056668752,401795
Nashik West,13 Manisha Bhavsing Salunke,FEMALE,36,GENERAL,BVA,Whistle,225,,225,0.102768351001877,401795
Nashik West,14 Sachin Punjaram Ahirrao,MALE,39,GENERAL,IND,Cup & Saucer,182,,182,0.0831281772548518,401795
Nashik West,15 Shivaji Subhash Wagh,MALE,35,GENERAL,IND,Iron,161,,161,0.0735364644946766,401795
Nashik West,16 Bhiva Lahu Kale,MALE,52,SC,IND,Air Conditioner,132,,132,0.0602907659211013,401795
Nashik West,17 Prof. Mehta Shalikram Nagbhide,MALE,53,SC,IND,COMPUTER,127,1,128,0.0584637730144013,401795
Nashik West,18 Mangesh Pundlik Pawar,MALE,27,SC,BMUP,Cot,84,,84,0.0383668510407008,401795
Nashik West,19 Kolappa Hanumant Dhotre,MALE,56,GENERAL,IND,Television,83,,83,0.0379101028140258,401795
Nashik West,20 Devakaran Shankar Tayade,MALE,62,GENERAL,IND,Chakki,82,,82,0.0374533545873508,401795
,,,,,,,218210,729,218939,54.4902251147973,
Devlali  ,1 SAROJ BABULAL AHIRE,FEMALE,38,SC,NCP,Clock,84108,218,84326,58.0897599283574,264873
Devlali  ,2 YOGESH BABANRAO GHOLAP,MALE,39,SC,SHS,Bow and Arrow,42464,160,42624,29.3624496262873,264873
Devlali  ,3 GAUTAM SUKDEO WAGH,MALE,58,SC,VBA,Gas Cylinder,9207,16,9223,6.3534598560259,264873
Devlali  ,4 SIDDHANT LAXMAN MANDALE,MALE,28,SC,MNS,Railway Engine,3190,8,3198,2.20301036751283,264873
Devlali  ,5 AMOL CHANGDEO PATHADE,MALE,29,SC,BSP,Elephant,1470,6,1476,1.01677401577515,264873
Devlali  ,6 NOTA,,,,NOTA,NOTA,1241,,1241,0.854889263941033,264873
Devlali  ,7 RAVINDRA PUNDLIK SALVE,MALE,35,SC,IND,Cup & Saucer,815,1,816,0.562118968070816,264873
Devlali  ,8 RAVIKIRAN CHANDRAKANT GHOLAP,MALE,45,SC,IND,Television,569,2,571,0.393345503392691,264873
Devlali  ,9 PARAMDEO FAKIRRAO AHIRRAO,MALE,30,SC,IND,Whistle,513,,513,0.353390968897461,264873
Devlali  ,10 VILAS SHRIPATI KHARAT,MALE,35,SC,APoI,Coat,355,1,356,0.245238177246581,264873
Devlali  ,11 RAVI KESHAV BAGUL,MALE,44,SC,IND,Helicopter,356,,356,0.245238177246581,264873
Devlali  ,12 AMAR KASHINATH DONDE,MALE,37,SC,BMUP,Cot,249,,249,0.171528949815727,264873
Devlali  ,13 VIKRANT UDHAO LOKHANDE,MALE,37,SC,PPID,Black Board,216,,216,0.14879619743051,264873
,,,,,,,144753,412,145165,54.8055105654408,
Igatpuri ,1 Hiraman Bhika Khoskar,MALE,55,ST,INC,Hand,86392,169,86561,51.7433901810639,259809
Igatpuri ,2 Nirmala Ramesh Gavit,FEMALE,55,ST,SHS,Bow and Arrow,54907,99,55006,32.8808230068923,259809
Igatpuri ,3 Luckybhau Bhika Jadhav,MALE,28,ST,VBA,Gas Cylinder,9954,21,9975,5.96273514696125,259809
Igatpuri ,4 Yogesh Kiran Shevre,MALE,37,ST,MNS,Railway Engine,6544,22,6566,3.9249442581401,259809
Igatpuri ,5 NOTA,,,,NOTA,NOTA,3055,4,3059,1.82857211173478,259809
Igatpuri ,6 Shaila Shioram Zole,FEMALE,35,ST,IND,Helmet,1499,7,1506,0.900238509405878,259809
Igatpuri ,7 Shivram Dharma Khane,MALE,34,ST,BTP,Auto- Rickshaw,1455,6,1461,0.873338952351918,259809
Igatpuri ,8 Adv. Yashwant Walu Pardhi,MALE,41,ST,IND,Sewing Machine,1276,2,1278,0.763947420332479,259809
Igatpuri ,9 Vikas Mohan Shengal,MALE,37,ST,IND,Bat,1110,,1110,0.663522407331026,259809
Igatpuri ,10 Dattataray Damodhar Narale,MALE,45,ST,IND,Cup & Saucer,767,,767,0.458488005786394,259809
,,,,,,,166959,330,167289,64.3892243917647,
Dahanu ,1 Nikole Vinod Bhiva,MALE,43,ST,CPIM,"Hammer, Sickle and Star",72068,46,72114,43.4471415402968,272085
Dahanu ,2 Dhanare Paskal Janya,MALE,47,ST,BJP,Lotus,67326,81,67407,40.6112747844633,272085
Dahanu ,3 Sunil Lahanya Ebhad,MALE,35,ST,MNS,Railway Engine,6319,13,6332,3.81489447587374,272085
Dahanu ,4 NOTA,,,,NOTA,NOTA,4820,4,4824,2.9063567516764,272085
Dahanu ,5 Randhe  Damodar  Shirad,MALE,62,ST,IND,Key,2819,4,2823,1.70079707918376,272085
Dahanu ,6 Dumada Rajesh Ravaji,MALE,26,ST,BSP,Elephant,2669,2,2671,1.60922033244769,272085
